name,description,price,quantity,is_active,image_url
Rinaldo,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",666.14,76,true,https://google.com.br/dolor/sit/amet/consectetuer/adipiscing/elit.png?donec=lorem&ut=integer&dolor=tincidunt&morbi=ante&vel=vel&lectus=ipsum&in=praesent&quam=blandit&fringilla=lacinia&rhoncus=erat&mauris=vestibulum&enim=sed&leo=magna&rhoncus=at&sed=nunc&vestibulum=commodo&sit=placerat&amet=praesent&cursus=blandit&id=nam&turpis=nulla&integer=integer&aliquet=pede&massa=justo&id=lacinia&lobortis=eget&convallis=tincidunt&tortor=eget&risus=tempus&dapibus=vel&augue=pede&vel=morbi&accumsan=porttitor&tellus=lorem&nisi=id&eu=ligula&orci=suspendisse&mauris=ornare&lacinia=consequat&sapien=lectus&quis=in&libero=est&nullam=risus&sit=auctor&amet=sed&turpis=tristique&elementum=in&ligula=tempus&vehicula=sit&consequat=amet&morbi=sem&a=fusce&ipsum=consequat&integer=nulla&a=nisl&nibh=nunc&in=nisl&quis=duis
Effie,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",214.81,60,true,http://ted.com/dapibus/nulla.jsp?mi=eu&in=magna&porttitor=vulputate&pede=luctus&justo=cum&eu=sociis&massa=natoque&donec=penatibus&dapibus=et&duis=magnis&at=dis&velit=parturient&eu=montes&est=nascetur&congue=ridiculus&elementum=mus&in=vivamus&hac=vestibulum&habitasse=sagittis&platea=sapien&dictumst=cum&morbi=sociis&vestibulum=natoque&velit=penatibus&id=et&pretium=magnis&iaculis=dis&diam=parturient&erat=montes&fermentum=nascetur&justo=ridiculus&nec=mus&condimentum=etiam&neque=vel&sapien=augue&placerat=vestibulum&ante=rutrum&nulla=rutrum&justo=neque&aliquam=aenean&quis=auctor&turpis=gravida&eget=sem&elit=praesent&sodales=id&scelerisque=massa&mauris=id&sit=nisl&amet=venenatis&eros=lacinia&suspendisse=aenean&accumsan=sit&tortor=amet&quis=justo&turpis=morbi&sed=ut
Aldo,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",818.36,99,false,http://plala.or.jp/consequat.png?tristique=nunc&fusce=vestibulum&congue=ante&diam=ipsum&id=primis&ornare=in&imperdiet=faucibus&sapien=orci&urna=luctus&pretium=et&nisl=ultrices&ut=posuere&volutpat=cubilia&sapien=curae&arcu=mauris&sed=viverra&augue=diam&aliquam=vitae&erat=quam&volutpat=suspendisse&in=potenti&congue=nullam&etiam=porttitor&justo=lacus&etiam=at&pretium=turpis&iaculis=donec&justo=posuere&in=metus&hac=vitae&habitasse=ipsum&platea=aliquam&dictumst=non&etiam=mauris&faucibus=morbi&cursus=non&urna=lectus&ut=aliquam&tellus=sit&nulla=amet&ut=diam&erat=in&id=magna&mauris=bibendum&vulputate=imperdiet&elementum=nullam
Athene,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,630.84,67,false,http://de.vu/ipsum/dolor/sit.js?sit=nullam&amet=molestie&justo=nibh&morbi=in&ut=lectus&odio=pellentesque&cras=at&mi=nulla&pede=suspendisse&malesuada=potenti&in=cras&imperdiet=in&et=purus&commodo=eu&vulputate=magna&justo=vulputate&in=luctus&blandit=cum&ultrices=sociis&enim=natoque&lorem=penatibus&ipsum=et&dolor=magnis&sit=dis&amet=parturient&consectetuer=montes&adipiscing=nascetur&elit=ridiculus&proin=mus&interdum=vivamus&mauris=vestibulum&non=sagittis&ligula=sapien&pellentesque=cum
Morris,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",827.82,28,false,http://plala.or.jp/arcu/libero/rutrum/ac.jsp?vel=donec&nulla=posuere&eget=metus&eros=vitae&elementum=ipsum&pellentesque=aliquam&quisque=non&porta=mauris&volutpat=morbi&erat=non&quisque=lectus&erat=aliquam&eros=sit&viverra=amet&eget=diam&congue=in&eget=magna&semper=bibendum&rutrum=imperdiet&nulla=nullam&nunc=orci&purus=pede&phasellus=venenatis&in=non&felis=sodales&donec=sed&semper=tincidunt&sapien=eu&a=felis&libero=fusce&nam=posuere&dui=felis&proin=sed&leo=lacus&odio=morbi&porttitor=sem&id=mauris&consequat=laoreet&in=ut&consequat=rhoncus&ut=aliquet&nulla=pulvinar&sed=sed&accumsan=nisl&felis=nunc&ut=rhoncus&at=dui&dolor=vel&quis=sem&odio=sed&consequat=sagittis&varius=nam&integer=congue&ac=risus&leo=semper&pellentesque=porta&ultrices=volutpat&mattis=quam&odio=pede&donec=lobortis&vitae=ligula&nisi=sit&nam=amet&ultrices=eleifend&libero=pede&non=libero&mattis=quis&pulvinar=orci&nulla=nullam&pede=molestie&ullamcorper=nibh&augue=in&a=lectus&suscipit=pellentesque&nulla=at&elit=nulla&ac=suspendisse&nulla=potenti&sed=cras&vel=in&enim=purus
Raquela,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,793.58,11,false,http://networksolutions.com/ipsum.js?accumsan=amet&tortor=consectetuer&quis=adipiscing&turpis=elit&sed=proin&ante=risus&vivamus=praesent&tortor=lectus&duis=vestibulum&mattis=quam&egestas=sapien&metus=varius&aenean=ut&fermentum=blandit&donec=non&ut=interdum&mauris=in&eget=ante&massa=vestibulum&tempor=ante&convallis=ipsum&nulla=primis&neque=in&libero=faucibus&convallis=orci&eget=luctus&eleifend=et&luctus=ultrices&ultricies=posuere&eu=cubilia&nibh=curae
Gabriello,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",13.36,7,false,https://purevolume.com/cum/sociis.jpg?eleifend=primis&donec=in&ut=faucibus&dolor=orci&morbi=luctus&vel=et&lectus=ultrices&in=posuere&quam=cubilia&fringilla=curae&rhoncus=duis&mauris=faucibus&enim=accumsan&leo=odio&rhoncus=curabitur&sed=convallis&vestibulum=duis&sit=consequat&amet=dui&cursus=nec&id=nisi&turpis=volutpat&integer=eleifend&aliquet=donec&massa=ut&id=dolor&lobortis=morbi&convallis=vel&tortor=lectus&risus=in&dapibus=quam&augue=fringilla&vel=rhoncus&accumsan=mauris&tellus=enim&nisi=leo
Ulrich,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",679.95,73,false,https://yale.edu/vel/augue/vestibulum/rutrum/rutrum/neque.png?ultrices=nulla
Bert,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",671.18,86,true,http://kickstarter.com/proin/leo.json?non=fusce&mauris=consequat&morbi=nulla&non=nisl&lectus=nunc&aliquam=nisl&sit=duis&amet=bibendum&diam=felis&in=sed&magna=interdum&bibendum=venenatis&imperdiet=turpis&nullam=enim&orci=blandit&pede=mi&venenatis=in&non=porttitor&sodales=pede&sed=justo&tincidunt=eu&eu=massa&felis=donec&fusce=dapibus&posuere=duis&felis=at
Ariadne,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",232.9,88,false,https://i2i.jp/in/tempor/turpis/nec.json?consequat=quam&in=sollicitudin&consequat=vitae&ut=consectetuer&nulla=eget&sed=rutrum&accumsan=at&felis=lorem&ut=integer&at=tincidunt&dolor=ante&quis=vel&odio=ipsum&consequat=praesent&varius=blandit&integer=lacinia&ac=erat&leo=vestibulum&pellentesque=sed&ultrices=magna&mattis=at&odio=nunc&donec=commodo
Tatum,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",749.63,10,false,https://printfriendly.com/aliquam/convallis/nunc/proin/at.json?et=vestibulum&magnis=quam&dis=sapien&parturient=varius&montes=ut&nascetur=blandit&ridiculus=non&mus=interdum&etiam=in&vel=ante&augue=vestibulum&vestibulum=ante&rutrum=ipsum&rutrum=primis&neque=in&aenean=faucibus&auctor=orci&gravida=luctus&sem=et&praesent=ultrices&id=posuere&massa=cubilia&id=curae&nisl=duis&venenatis=faucibus&lacinia=accumsan&aenean=odio&sit=curabitur&amet=convallis&justo=duis&morbi=consequat&ut=dui&odio=nec&cras=nisi&mi=volutpat&pede=eleifend&malesuada=donec&in=ut&imperdiet=dolor&et=morbi&commodo=vel&vulputate=lectus&justo=in&in=quam&blandit=fringilla&ultrices=rhoncus&enim=mauris&lorem=enim&ipsum=leo&dolor=rhoncus&sit=sed&amet=vestibulum&consectetuer=sit&adipiscing=amet&elit=cursus&proin=id&interdum=turpis&mauris=integer&non=aliquet&ligula=massa&pellentesque=id
Jacinthe,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",688.72,93,false,https://merriam-webster.com/dapibus/augue/vel/accumsan/tellus/nisi/eu.jpg?sed=sed&tristique=tristique&in=in&tempus=tempus&sit=sit&amet=amet&sem=sem&fusce=fusce&consequat=consequat&nulla=nulla&nisl=nisl&nunc=nunc&nisl=nisl&duis=duis&bibendum=bibendum&felis=felis&sed=sed&interdum=interdum&venenatis=venenatis&turpis=turpis&enim=enim
